time,theta,omega,energy
1.590000000000000080e+00,1.013608036115375283e-01,1.655272344204828938e+00,-8.389685832868867266e+00
1.600000000000000089e+00,1.178638946686841049e-01,1.645345867224486947e+00,-8.388357576576556340e+00
1.610000000000000098e+00,1.342596748612717994e-01,1.633810171293050395e+00,-8.387049031433061685e+00
1.620000000000000107e+00,1.505321198701972396e-01,1.620678830492033651e+00,-8.385762884137298201e+00
1.630000000000000115e+00,1.666653507075350482e-01,1.605967336975530291e+00,-8.384501699553705834e+00
1.640000000000000124e+00,1.826436526607380095e-01,1.589693053665063527e+00,-8.383267907939648822e+00
1.650000000000000133e+00,1.984514937384121436e-01,1.571875161869758841e+00,-8.382063793348676128e+00
1.660000000000000142e+00,2.140735425689338778e-01,1.552534604234586890e+00,-8.380891483288817057e+00
1.669999999999999929e+00,2.294946857073584534e-01,1.531694023450328679e+00,-8.379752939697693748e+00
1.679999999999999938e+00,2.447000443105351863e-01,1.509377697185018130e+00,-8.378649951278390517e+00
1.689999999999999947e+00,2.596749901450488007e-01,1.485611469717699196e+00,-8.377584127222171162e+00
1.699999999999999956e+00,2.744051608974937273e-01,1.460422680771282788e+00,-8.376556892326291859e+00
1.709999999999999964e+00,2.888764747616103246e-01,1.433840092052029780e+00,-8.375569483497887546e+00
1.719999999999999973e+00,3.030751442819141772e-01,1.405893812008742083e+00,-8.374622947618455271e+00
1.729999999999999982e+00,3.169876894385837973e-01,1.376615219325189932e+00,-8.373718140727952175e+00
1.739999999999999991e+00,3.306009499634837145e-01,1.346036885654797066e+00,-8.372855728473282966e+00
1.750000000000000000e+00,3.439020968822443236e-01,1.314192498097334960e+00,-8.372036187753240100e+00
1.760000000000000009e+00,3.568786432822490529e-01,1.281116781903617996e+00,-8.371259809480701364e+00
1.770000000000000018e+00,3.695184543111483255e-01,1.246845423876238756e+00,-8.370526702373513928e+00
1.780000000000000027e+00,3.818097564150923495e-01,1.211414996912576258e+00,-8.369836797677757900e+00
1.790000000000000036e+00,3.937411458302103595e-01,1.174862886111031957e+00,-8.369189854721305721e+00
1.800000000000000044e+00,4.053015963449310144e-01,1.137227216833091026e+00,-8.368585467191525851e+00
1.810000000000000053e+00,4.164804663545103591e-01,1.098546785082780586e+00,-8.368023070028863586e+00
1.820000000000000062e+00,4.272675052325833889e-01,1.058860990531826030e+00,-8.367501946827514914e+00
1.830000000000000071e+00,4.376528590476611025e-01,1.018209772483716691e+00,-8.367021237635640318e+00
1.840000000000000080e+00,4.476270756552466756e-01,9.766335490333889480e-01,-8.366579947050297505e+00
1.850000000000000089e+00,4.571811091986223152e-01,9.341731596417398586e-01,-8.366176952506437559e+00
1.860000000000000098e+00,4.663063240533613651e-01,8.908698113060757873e-01,-8.365811012664686075e+00
1.870000000000000107e+00,4.749944982522380510e-01,8.467650284692544993e-01,-8.365480775809212233e+00
1.880000000000000115e+00,4.832378264284445391e-01,8.019006067720400033e-01,-8.365184788174403252e+00
1.890000000000000124e+00,4.910289223158816330e-01,7.563185707153798898e-01,-8.364921502127284469e+00
1.900000000000000133e+00,4.983608208457696587e-01,7.100611352622220318e-01,-8.364689284141521242e+00
1.910000000000000142e+00,5.052269798789427169e-01,6.631706713723770630e-01,-8.364486422508070618e+00
1.919999999999999929e+00,5.116212816129498409e-01,6.156896754290361873e-01,-8.364311134737118181e+00
1.929999999999999938e+00,5.175380337025053956e-01,5.676607424820729886e-01,-8.364161574615655681e+00
1.939999999999999947e+00,5.229719701309225588e-01,5.191265432013644210e-01,-8.364035838894704256e+00
1.949999999999999956e+00,5.279182518689454762e-01,4.701298044032117818e-01,-8.363931973589730617e+00
1.959999999999999964e+00,5.323724673558847265e-01,4.207132929846393310e-01,-8.363847979887088613e+00
1.969999999999999973e+00,5.363306328361779896e-01,3.709198030740015195e-01,-8.363781819658210992e+00
1.979999999999999982e+00,5.397891925824580550e-01,3.207921461820091302e-01,-8.363731420591726362e+00
1.989999999999999991e+00,5.427450190339433433e-01,2.703731441150489800e-01,-8.363694680961481609e+00
2.000000000000000000e+00,5.451954128764813223e-01,2.197056243925636365e-01,-8.363669474055829056e+00
2.010000000000000231e+00,5.471381030879056695e-01,1.688324178923029106e-01,-8.363653652299966268e+00
2.020000000000000018e+00,5.485712469695246396e-01,1.177963584314761225e-01,-8.363645051109001471e+00
2.030000000000000249e+00,5.494934301815731503e-01,6.664028397823315575e-02,-8.363641492514432230e+00
2.040000000000000036e+00,5.499036667973468129e-01,1.540703917648685722e-02,-8.363640788610869237e+00
2.049999999999999822e+00,5.498013993875184857e-01,-3.586052114214051401e-02,-8.363640744873251265e+00
2.060000000000000053e+00,5.491864991428452303e-01,-8.711952779250731194e-02,-8.363639163397172283e+00
2.069999999999999840e+00,5.480592660401106819e-01,-1.383270927543994722e-01,-8.363633846116563575e+00
2.080000000000000071e+00,5.464204290527585606e-01,-1.894403047160288234e-01,-8.363622598053570556e+00
2.089999999999999858e+00,5.442711464042591096e-01,-2.404162249838643350e-01,-8.363603230655254350e+00
2.100000000000000089e+00,5.416130058588479734e-01,-2.912118840983717316e-01,-8.363573565270479904e+00
2.109999999999999876e+00,5.384480250408993918e-01,-3.417842794913316662e-01,-8.363531436818375298e+00
2.120000000000000107e+00,5.347786517708712495e-01,-3.920903745142903518e-01,-8.363474697696624105e+00
2.129999999999999893e+00,5.306077644025030127e-01,-4.420870991593596200e-01,-8.363401221974095634e+00
2.140000000000000124e+00,5.259386721427911082e-01,-4.917313527830143860e-01,-8.363308909907438249e+00
2.149999999999999911e+00,5.207751153332225158e-01,-5.409800091307205294e-01,-8.363195692815830640e+00
2.160000000000000142e+00,5.151212656678431090e-01,-5.897899239451652731e-01,-8.363059538341557797e+00
2.169999999999999929e+00,5.089817263209995835e-01,-6.381179454235430537e-01,-8.362898456117092039e+00
2.180000000000000160e+00,5.023615319550329694e-01,-6.859209277697870810e-01,-8.362710503851417343e+00
2.189999999999999947e+00,4.952661485758548254e-01,-7.331557480658413839e-01,-8.362493793840018341e+00
2.200000000000000178e+00,4.877014732022152965e-01,-7.797793266620680619e-01,-8.362246499893824847e+00
2.209999999999999964e+00,4.796738333126013276e-01,-8.257486512607263851e-01,-8.361966864673108901e+00
2.220000000000000195e+00,4.711899860321066558e-01,-8.710208048382085400e-01,-8.361653207402392596e+00
2.229999999999999982e+00,4.622571170203083613e-01,-9.155529975214494742e-01,-8.361303931932543065e+00
2.240000000000000213e+00,4.528828390201922738e-01,-9.593026025017663549e-01,-8.360917535105956588e+00
2.250000000000000000e+00,4.430751900275062272e-01,-1.002227196035446966e+00,-8.360492615370750613e+00
2.260000000000000231e+00,4.328426310396045751e-01,-1.044284601544878122e+00,-8.360027881579959796e+00
2.270000000000000018e+00,4.221940433428948980e-01,-1.085432937797062625e+00,-8.359522161902132709e+00
2.280000000000000249e+00,4.111387252984182727e-01,-1.125630671098260427e+00,-8.358974412760780126e+00
2.290000000000000036e+00,3.996863885859047172e-01,-1.164836671404450463e+00,-8.358383727711784061e+00
2.300000000000000266e+00,3.878471538678441854e-01,-1.203010272207650555e+00,-8.357749346160446180e+00
2.310000000000000053e+00,3.756315458367150972e-01,-1.240111334018165756e+00,-8.357070661813489565e+00
2.319999999999999840e+00,3.630504876105096201e-01,-1.276100311222923223e+00,-8.356347230756220767e+00
2.330000000000000071e+00,3.501152944440921733e-01,-1.310938322060568595e+00,-8.355578779041291426e+00
2.339999999999999858e+00,3.368376667267125590e-01,-1.344587221415359579e+00,-8.354765209673415072e+00
2.350000000000000089e+00,3.232296822391632074e-01,-1.377009676094512969e+00,-8.353906608873840511e+00
2.359999999999999876e+00,3.093037876476006920e-01,-1.408169242217991002e+00,-8.353003251509788285e+00
2.370000000000000107e+00,2.950727892149296872e-01,-1.438030444316200640e+00,-8.352055605577259456e+00
2.379999999999999893e+00,2.805498427148477858e-01,-1.466558855700178743e+00,-8.351064335630860924e+00
2.390000000000000124e+00,2.657484425381419491e-01,-1.493721179640992380e+00,-8.350030305061418190e+00
2.399999999999999911e+00,2.506824099855832766e-01,-1.519485330870742779e+00,-8.348954577131335597e+00
2.410000000000000142e+00,2.353658807467438885e-01,-1.543820516897133732e+00,-8.347838414688634856e+00
2.419999999999999929e+00,2.198132915692210254e-01,-1.566697318607438438e+00,-8.346683278493580715e+00
2.430000000000000160e+00,2.040393661280527071e-01,-1.588087769626226109e+00,-8.345490824106171601e+00
2.439999999999999947e+00,1.880591001104980620e-01,-1.607965433884703810e+00,-8.344262897298937887e+00
2.450000000000000178e+00,1.718877455367834317e-01,-1.626305480858222019e+00,-8.343001527976685594e+00
2.459999999999999964e+00,1.555407943428293027e-01,-1.643084757932602002e+00,-8.341708922603157106e+00
2.470000000000000195e+00,1.390339612563184224e-01,-1.658281859369572731e+00,-8.340387455153566165e+00
2.479999999999999982e+00,1.223831660026864360e-01,-1.671877191356823111e+00,-8.339039656631440423e+00
2.490000000000000213e+00,1.056045148826576102e-01,-1.683853032648942705e+00,-8.337668203207583062e+00
2.500000000000000000e+00,8.871428176775413010e-02,-1.694193590331755317e+00,-8.336275903058211867e+00
2.510000000000000231e+00,7.172888856472514618e-02,-1.702885050274041578e+00,-8.334865681997813525e+00
2.520000000000000018e+00,5.466488520401917989e-02,-1.709915621867151403e+00,-8.333440568019771177e+00
2.530000000000000249e+00,3.753892921121257387e-02,-1.715275576694169191e+00,-8.332003674873922350e+00
2.540000000000000036e+00,2.036776492366320843e-02,-1.718957280815703426e+00,-8.330558184824681689e+00
2.550000000000000266e+00,3.168202417542001145e-03,-1.720955220408537878e+00,-8.329107330745813442e+00
2.560000000000000053e+00,-1.404290378722946459e-02,-1.721266020545755060e+00,-8.327654377718154421e+00
2.569999999999999840e+00,-3.124867617476781781e-02,-1.719888456961915058e+00,-8.326202604304299371e+00
2.580000000000000071e+00,-4.843223576309642342e-02,-1.716823460703805981e+00,-8.324755283679442286e+00
2.589999999999999858e+00,-6.557672364474284588e-02,-1.712074115625476844e+00,-8.323315664799883606e+00
2.600000000000000089e+00,-8.266532246659540062e-02,-1.705645648745033993e+00,-8.321886953790333052e+00
