time,x_numeric,x_analytic,velocity
9.699999999999999734e-01,-9.027836248629415861e-02,-9.027836242949227596e-02,-2.172058608426132367e-02
9.799999999999999822e-01,-9.045020977932799466e-02,-9.045020964795699725e-02,-1.264903211263777687e-02
9.899999999999999911e-01,-9.053136143264346736e-02,-9.053136122547542075e-02,-3.582967779009007744e-03
1.000000000000000000e+00,-9.052191759244457292e-02,-9.052191730833458738e-02,5.468561635493444581e-03
1.010000000000000009e+00,-9.042206870225816262e-02,-9.042206834014693273e-02,1.449654344140482998e-02
1.020000000000000018e+00,-9.023209513228235001e-02,-9.023209469119852777e-02,2.349200647874134795e-02
1.030000000000000027e+00,-8.995236671964629283e-02,-8.995236619870872197e-02,3.244602999547201855e-02
1.040000000000000036e+00,-8.958334222021839544e-02,-8.958334161863824863e-02,4.134975245789797305e-02
1.050000000000000044e+00,-8.912556867268732474e-02,-8.912556798977026851e-02,5.019438028427437859e-02
1.060000000000000053e+00,-8.857968067572635773e-02,-8.857967991087434267e-02,5.897119649310418599e-02
1.070000000000000062e+00,-8.794639957913677475e-02,-8.794639873184993684e-02,6.767156925763524733e-02
1.080000000000000071e+00,-8.722653258995012593e-02,-8.722653165982849344e-02,7.628696035820299592e-02
1.090000000000000080e+00,-8.642097179455221490e-02,-8.642097078129722110e-02,8.480893352417957776e-02
1.100000000000000089e+00,-8.553069309797343978e-02,-8.553069200138943562e-02,9.322916265741705566e-02
1.110000000000000098e+00,-8.455675508157048381e-02,-8.455675390156604243e-02,1.015394399292070537e-01
1.120000000000000107e+00,-8.350029778040363171e-02,-8.350029651699268640e-02,1.097316837429211239e-01
1.130000000000000115e+00,-8.236254138169124550e-02,-8.236254003499426934e-02,1.177979465546464821e-01
1.140000000000000124e+00,-8.114478484579944195e-02,-8.114478341604428047e-02,1.257304225442883727e-01
1.150000000000000133e+00,-7.984840445129910702e-02,-7.984840293882179696e-02,1.335214551297752572e-01
1.159999999999999920e+00,-7.847485226569543559e-02,-7.847485067094089883e-02,1.411635443171741500e-01
1.169999999999999929e+00,-7.702565454350601692e-02,-7.702565286702846292e-02,1.486493538797017677e-01
1.179999999999999938e+00,-7.550241005343290290e-02,-7.550240829589632829e-02,1.559717183588021083e-01
1.189999999999999947e+00,-7.390678833644130641e-02,-7.390678649861966154e-02,1.631236498806526436e-01
1.199999999999999956e+00,-7.224052789662299690e-02,-7.224052597940025522e-02,1.700983447816585004e-01
1.209999999999999964e+00,-7.050543432678588185e-02,-7.050543233115608155e-02,1.768891900366982295e-01
1.219999999999999973e+00,-6.870337837077261645e-02,-6.870337629783956901e-02,1.834897694840937343e-01
1.229999999999999982e+00,-6.683629392457014762e-02,-6.683629177554710477e-02,1.898938698414923687e-01
1.239999999999999991e+00,-6.490617597832933072e-02,-6.490617375453852644e-02,1.960954865070697328e-01
1.250000000000000000e+00,-6.291507850146828285e-02,-6.291507620434029502e-02,2.020888291406869319e-01
1.260000000000000009e+00,-6.086511227308596256e-02,-6.086510990415889416e-02,2.078683270198670441e-01
1.270000000000000018e+00,-5.875844265996239824e-02,-5.875844022088103080e-02,2.134286341656903008e-01
1.280000000000000027e+00,-5.659728734446985154e-02,-5.659728483698450024e-02,2.187646342339475691e-01
1.290000000000000036e+00,-5.438391400476467324e-02,-5.438391143073002115e-02,2.238714451671352523e-01
1.300000000000000044e+00,-5.212063794967251862e-02,-5.212063531104625669e-02,2.287444236031222766e-01
1.310000000000000053e+00,-4.980981971071990477e-02,-4.980981700956112895e-02,2.333791690365717153e-01
1.320000000000000062e+00,-4.745386259380320049e-02,-4.745385983227103782e-02,2.377715277294539242e-01
1.330000000000000071e+00,-4.505521019302127089e-02,-4.505520737337286724e-02,2.419175963672464125e-01
1.340000000000000080e+00,-4.261634386923095902e-02,-4.261634099381961943e-02,2.458137254576761022e-01
1.350000000000000089e+00,-4.013978019591447899e-02,-4.013977726718765543e-02,2.494565224691235317e-01
1.360000000000000098e+00,-3.762806837497553736e-02,-3.762806539547261520e-02,2.528428547060740383e-01
1.370000000000000107e+00,-3.508378762510552806e-02,-3.508378459745545991e-02,2.559698519192689092e-01
1.380000000000000115e+00,-3.250954454538353827e-02,-3.250954147230260272e-02,2.588349086484794115e-01
1.390000000000000124e+00,-2.990797045679310928e-02,-2.990796734108211799e-02,2.614356862960974803e-01
1.400000000000000133e+00,-2.728171872435551648e-02,-2.728171556889721905e-02,2.637701149300097914e-01
1.409999999999999920e+00,-2.463346206259326918e-02,-2.463345887034956022e-02,2.658363948144948918e-01
1.419999999999999929e+00,-2.196588982704872003e-02,-2.196588660105752017e-02,2.676329976681578460e-01
1.429999999999999938e+00,-1.928170529459124344e-02,-1.928170203796357104e-02,2.691586676481910745e-01
1.439999999999999947e+00,-1.658362293525209724e-02,-1.658361965116907089e-02,2.704124220605248485e-01
1.449999999999999956e+00,-1.387436567832911645e-02,-1.387436237003844032e-02,2.713935517957060117e-01
1.459999999999999964e+00,-1.115666217550362327e-02,-1.115665884631628427e-02,2.721016214906173958e-01
1.469999999999999973e+00,-8.433244063709453842e-03,-8.433240716996241726e-03,2.725364694164240098e-01
1.479999999999999982e+00,-5.706843230488743181e-03,-5.706839869676669230e-03,2.726982070934051983e-01
1.489999999999999991e+00,-2.980189084561209005e-03,-2.980185713129751644e-03,2.725872186336030234e-01
1.500000000000000000e+00,-2.560058343229671719e-04,-2.560024558005380662e-04,2.722041598124873008e-01
1.510000000000000009e+00,2.462990223022386120e-03,2.462993605062523648e-03,2.715499568711063350e-01
1.520000000000000018e+00,5.174093399013751995e-03,5.174096780957335683e-03,2.706258050504579127e-01
1.530000000000000027e+00,7.874611295495534402e-03,7.874614673691321745e-03,2.694331668600800644e-01
1.540000000000000036e+00,1.056186746754696724e-02,1.056187083831081064e-02,2.679737700831220648e-01
1.550000000000000044e+00,1.323320406515493888e-02,1.323320742477401835e-02,2.662496055204146006e-01
1.560000000000000053e+00,1.588598445103397289e-02,1.588598779577076944e-02,2.642629244763146090e-01
1.570000000000000062e+00,1.851759579202604325e-02,1.851759911812285442e-02,2.620162359893518089e-01
1.580000000000000071e+00,2.112545162154440617e-02,2.112545492522758042e-02,2.595123038109531932e-01
1.590000000000000080e+00,2.370699437055964406e-02,2.370699764804396620e-02,2.567541431357670545e-01
1.600000000000000089e+00,2.625969786466252065e-02,2.625970111215562147e-02,2.537450170873484789e-01
1.610000000000000098e+00,2.878106978477706565e-02,2.878107299848387673e-02,2.504884329632064977e-01
1.620000000000000107e+00,3.126865408913847427e-02,3.126865726526579375e-02,2.469881382434433725e-01
1.630000000000000115e+00,3.372003339419386847e-02,3.372003652895463888e-02,2.432481163674465874e-01
1.640000000000000124e+00,3.613283131212961102e-02,3.613283440174771405e-02,2.392725822833149107e-01
1.650000000000000133e+00,3.850471474277693956e-02,3.850471778349161961e-02,2.350659777749186941e-01
1.660000000000000142e+00,4.083339611769753325e-02,4.083339910576802567e-02,2.306329665717065103e-01
1.669999999999999929e+00,4.311663559430300302e-02,4.311663852601303748e-02,2.259784292465771005e-01
1.679999999999999938e+00,4.535224319791630182e-02,4.535224606957872356e-02,2.211074579073366853e-01
1.689999999999999947e+00,4.753808090973940526e-02,4.753808371770072705e-02,2.160253506874568463e-01
1.699999999999999956e+00,4.967206469874958091e-02,4.967206743939450719e-02,2.107376060420372565e-01
1.709999999999999964e+00,5.175216649560659965e-02,5.175216916536261313e-02,2.052499168550603048e-01
1.719999999999999973e+00,5.377641610671497069e-02,5.377641870205680102e-02,1.995681643642011338e-01
1.729999999999999982e+00,5.574290306664882177e-02,5.574290558410303215e-02,1.936984119096260282e-01
1.739999999999999991e+00,5.764977842721208390e-02,5.764978086336128987e-02,1.876468985133753209e-01
1.750000000000000000e+00,5.949525648147351714e-02,5.949525883296104961e-02,1.814200322960832223e-01
1.760000000000000009e+00,6.127761642118433050e-02,6.127761868471851697e-02,1.750243837379353296e-01
1.770000000000000018e+00,6.299520392605581498e-02,6.299520609841428864e-02,1.684666787909070151e-01
1.780000000000000027e+00,6.464643268344566485e-02,6.464643476147965973e-02,1.617537918494601767e-01
1.790000000000000036e+00,6.622978583707390954e-02,6.622978781771243773e-02,1.548927385870026707e-01
1.800000000000000044e+00,6.774381736346311855e-02,6.774381924371709884e-02,1.478906686655345193e-01
1.810000000000000053e+00,6.918715337487243988e-02,6.918715515183880560e-02,1.407548583260167796e-01
1.820000000000000062e+00,7.055849334757066660e-02,7.055849501843633464e-02,1.334927028671029081e-01
1.830000000000000071e+00,7.185661127437059648e-02,7.185661283641638086e-02,1.261117090199687651e-01
1.840000000000000080e+00,7.308035674042485941e-02,7.308035819102931541e-02,1.186194872270659451e-01
1.850000000000000089e+00,7.422865592136169977e-02,7.422865725800484316e-02,1.110237438327030535e-01
