time_days,remaining_mass_kg,converted_mass_kg,conversion_efficiency_%,rate_constant
55.379453527601676,83559218.7596856,9916440781.240314,99.16891007395512,1e-06
55.495310124939756,82726962.53936927,9917273037.46063,99.17723301401918,1e-06
55.61116672227783,81902995.65476646,9918097004.345234,99.18547305696258,1e-06
55.72702331961591,81087235.54345849,9918912764.456541,99.19363102844699,1e-06
55.84287991695399,80279600.46535434,9919720399.534645,99.20170774591043,1e-06
55.95873651429206,79480009.49450116,9920519990.505499,99.20970401864919,1e-06
56.07459311163015,78688382.51097418,9921311617.489025,99.21762064789887,1e-06
56.190449708968224,77904640.19284973,9922095359.80715,99.22545842691473,1e-06
56.306306306306304,77128704.00825635,9922871295.991743,99.23321814105114,1e-06
56.422162903644384,76360496.20750582,9923639503.792494,99.24090056784028,1e-06
56.53801950098246,75599939.8153033,9924400060.184696,99.24850647707005,1e-06
56.653876098320545,74846958.62303318,9925153041.376966,99.25603663086122,1e-06
56.76973269565862,74101477.18112402,9925898522.818876,99.26349178374372,1e-06
56.88558929299669,73363420.79148765,9926636579.208513,99.27087268273239,1e-06
57.00144589033478,72632715.5000344,9927367284.499966,99.27818006740166,1e-06
57.11730248767285,71909288.08926348,9928090711.910736,99.28541466995982,1e-06
57.23315908501094,71193066.07092547,9928806933.929075,99.29257721532227,1e-06
57.34901568234901,70483977.67875992,9929516022.32124,99.29966842118415,1e-06
57.4648722796871,69781951.86130358,9930218048.138697,99.30668899809241,1e-06
57.58072887702517,69086918.27477129,9930913081.72523,99.31363964951684,1e-06
57.696585474363246,68398807.27600743,9931601192.723993,99.32052107192057,1e-06
57.812442071701334,67717549.9155073,9932282450.084494,99.32733395482998,1e-06
57.92829866903941,67043077.930508934,9932956922.06949,99.33407898090366,1e-06
58.044155266377494,66375323.73815242,9933624676.261848,99.34075682600093,1e-06
58.16001186371557,65714220.42870843,9934285779.571291,99.34736815924943,1e-06
58.27586846105364,65059701.75887365,9934940298.241127,99.35391364311229,1e-06
58.39172505839173,64411702.145132974,9935588297.854868,99.36039393345443,1e-06
58.5075816557298,63770156.65718845,9936229843.342812,99.3668096796083,1e-06
58.62343825306789,63135001.01145264,9936864998.988548,99.37316152443897,1e-06
58.73929485040596,62506171.56460761,9937493828.435392,99.37945010440849,1e-06
