t,linear_v,exp_v,logistic_v,linear_n,exp_n,logistic_n
132.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029100225973562373,0.0,0.000000000000000000000000007274878957588396,381.16,863.8246420155587,250.73962973199656
135.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027721573018313887,0.0,0.0000000000000000000000000000026186751988537778,389.8,863.9883600076364,278.1896039124605
138.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002038591633384207,0.0,0.0000000000000000000000000000000004043422254470443,398.44,864.129273389302,307.1529514209127
141.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011573098148268138,0.0,0.0000000000000000000000000000000000000256787199342122,407.08,864.2505586608868,337.4077018678722
144.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005072166589684997,0.0,0.0000000000000000000000000000000000000000006479794571518285,415.71999999999997,864.3549498615625,368.6816654747266
147.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017162503639968434,0.0,0.000000000000000000000000000000000000000000000006332820570535643,424.36,864.4448002006528,400.6606136230004
150.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004483645249334254,0.0,0.00000000000000000000000000000000000000000000000000002360093567638707,433.0,864.5221351041923,433.0
153.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009044134656383757,0.0,0.00000000000000000000000000000000000000000000000000000000003337961781553532,441.64,864.5886978725248,465.3393863769996
156.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001408676475999903,0.0,0.000000000000000000000000000000000000000000000000000000000000000018028637614009103,450.28000000000003,864.6459889781614,497.3183345252734
159.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169429461469065,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000037823588522203985,458.92,864.6952998897611,528.5922981321278
162.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015737173862746436,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000003166915914535382,467.56000000000006,864.7377421846999,558.8470485790873
165.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011288942712920116,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000010970196050756783,476.20000000000005,864.7742726064914,587.8103960875395
168.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006254592593485366,0.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016419911711217387,484.84000000000003,864.8057146319095,615.2603702680034
171.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002676680765455901,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001115601158391323,493.47999999999996,864.8327770339819,641.0295128933811
174.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008848723794905414,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036292146449355564,502.11999999999995,864.8560698593067,665.0054129431513
177.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022598945839040406,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059774527674778446,510.76,864.8761181798573,687.1279987639815
180.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004459216358597068,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052751157712142954,519.4,864.8933739292692,707.3843474313081
183.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006798820137905849,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002638554053594263,528.04,864.908226090427,725.8018675658303
186.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008010463185317306,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007900156094996615,536.68,864.9210094640029,742.4406799259787
189.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007294204318763838,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001491754279233019,545.32,864.9320122156051,757.3858985260722
192.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005133864942629716,0.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001865854037875585,553.96,864.9414823716719,770.7403464869905
195.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002793252257896407,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016180821741867997,562.6,864.9496334105365,782.6180623271695
198.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011749819200751243,0.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010145981052830962,571.24,864.9566490747035,793.1387902292511
201.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003821790505796257,0.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004779289855657977,579.88,864.9626875128118,802.4235166476486
204.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009613466179842394,0.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017507125490098815,588.5200000000001,864.967884844657,810.5910203667551
207.0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018704102688180938,0.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051441866336179374,597.16,864.972358229632,817.7553419254272
210.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002815188810044104,0.0,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012464806511212052,605.8,864.9762085077618,824.0240455745824
