Day,Algae_kg,Plants_kg,O2_kg
144.0,10.0,5.99999999991501,96.16159999991498
145.0,10.0,5.999999999927759,96.12799999992774
146.0,10.0,5.999999999938595,96.09439999993857
147.0,10.0,5.999999999947805,96.06079999994779
148.0,10.0,5.999999999955635,96.02719999995561
149.0,10.0,5.99999999996229,95.99359999996227
150.0,10.0,5.9999999999679465,95.95999999996793
151.0,10.0,5.999999999972754,95.92639999997274
152.0,10.0,5.999999999976841,95.89279999997683
153.0,10.0,5.999999999980314,95.8591999999803
154.0,10.0,5.999999999983268,95.82559999998325
155.0,10.0,5.999999999985778,95.79199999998576
156.0,10.0,5.999999999987911,95.7583999999879
157.0,10.0,5.999999999989725,95.72479999998971
158.0,10.0,5.999999999991266,95.69119999999126
159.0,10.0,5.999999999992576,95.65759999999257
160.0,10.0,5.9999999999936895,95.62399999999369
161.0,10.0,5.999999999994636,95.59039999999463
162.0,10.0,5.999999999995441,95.55679999999543
163.0,10.0,5.999999999996125,95.52319999999612
164.0,10.0,5.999999999996706,95.4895999999967
165.0,10.0,5.9999999999972,95.45599999999719
166.0,10.0,5.99999999999762,95.42239999999761
167.0,10.0,5.999999999997977,95.38879999999797
168.0,10.0,5.9999999999982805,95.35519999999828
169.0,10.0,5.999999999998538,95.32159999999854
170.0,10.0,5.999999999998757,95.28799999999876
171.0,10.0,5.999999999998944,95.25439999999895
172.0,10.0,5.999999999999102,95.22079999999912
173.0,10.0,5.999999999999237,95.18719999999925
174.0,10.0,5.999999999999352,95.15359999999937
175.0,10.0,5.999999999999449,95.11999999999946
176.0,10.0,5.999999999999532,95.08639999999954
177.0,10.0,5.999999999999602,95.0527999999996
178.0,10.0,5.999999999999662,95.01919999999967
179.0,10.0,5.999999999999712,94.98559999999972
180.0,10.0,5.999999999999756,94.95199999999977
181.0,10.0,5.999999999999792,94.9183999999998
182.0,10.0,5.999999999999823,94.88479999999984
183.0,10.0,5.99999999999985,94.85119999999986
184.0,10.0,5.999999999999872,94.81759999999989
185.0,10.0,5.999999999999892,94.7839999999999
186.0,10.0,5.999999999999908,94.75039999999993
187.0,10.0,5.999999999999922,94.71679999999994
188.0,10.0,5.999999999999933,94.68319999999994
189.0,10.0,5.999999999999943,94.64959999999995
190.0,10.0,5.999999999999952,94.61599999999996
191.0,10.0,5.999999999999959,94.58239999999996
192.0,10.0,5.999999999999965,94.54879999999997
193.0,10.0,5.999999999999971,94.51519999999998
194.0,10.0,5.999999999999975,94.48159999999999
195.0,10.0,5.999999999999979,94.448
196.0,10.0,5.999999999999982,94.4144
197.0,10.0,5.999999999999985,94.38080000000001
198.0,10.0,5.999999999999988,94.34720000000002
199.0,10.0,5.999999999999989,94.31360000000002
200.0,10.0,5.999999999999991,94.28000000000003
201.0,10.0,5.999999999999993,94.24640000000004
202.0,10.0,5.999999999999994,94.21280000000004
203.0,10.0,5.999999999999995,94.17920000000005
204.0,10.0,5.999999999999996,94.14560000000006
205.0,10.0,5.9999999999999964,94.11200000000007
206.0,10.0,5.999999999999997,94.07840000000007
207.0,10.0,5.999999999999997,94.04480000000008
208.0,10.0,5.999999999999997,94.01120000000009
209.0,10.0,5.999999999999997,93.9776000000001
210.0,10.0,5.999999999999997,93.9440000000001
211.0,10.0,5.999999999999997,93.91040000000011
212.0,10.0,5.999999999999997,93.87680000000012
213.0,10.0,5.999999999999997,93.84320000000012
214.0,10.0,5.999999999999997,93.80960000000013
215.0,10.0,5.999999999999997,93.77600000000014
216.0,10.0,5.999999999999997,93.74240000000015
217.0,10.0,5.999999999999997,93.70880000000015
218.0,10.0,5.999999999999997,93.67520000000016
219.0,10.0,5.999999999999997,93.64160000000017
220.0,10.0,5.999999999999997,93.60800000000017
221.0,10.0,5.999999999999997,93.57440000000018
222.0,10.0,5.999999999999997,93.54080000000019
223.0,10.0,5.999999999999997,93.5072000000002
224.0,10.0,5.999999999999997,93.4736000000002
225.0,10.0,5.999999999999997,93.44000000000021
226.0,10.0,5.999999999999997,93.40640000000022
227.0,10.0,5.999999999999997,93.37280000000023
228.0,10.0,5.999999999999997,93.33920000000023
229.0,10.0,5.999999999999997,93.30560000000024
230.0,10.0,5.999999999999997,93.27200000000025
231.0,10.0,5.999999999999997,93.23840000000025
232.0,10.0,5.999999999999997,93.20480000000026
233.0,10.0,5.999999999999997,93.17120000000027
234.0,10.0,5.999999999999997,93.13760000000028
235.0,10.0,5.999999999999997,93.10400000000028
236.0,10.0,5.999999999999997,93.07040000000029
237.0,10.0,5.999999999999997,93.0368000000003
238.0,10.0,5.999999999999997,93.0032000000003
239.0,10.0,5.999999999999997,92.96960000000031
240.0,10.0,5.999999999999997,92.93600000000032
241.0,10.0,5.999999999999997,92.90240000000033
242.0,10.0,5.999999999999997,92.86880000000033
243.0,10.0,5.999999999999997,92.83520000000034
244.0,10.0,5.999999999999997,92.80160000000035
245.0,10.0,5.999999999999997,92.76800000000036
246.0,10.0,5.999999999999997,92.73440000000036
247.0,10.0,5.999999999999997,92.70080000000037
248.0,10.0,5.999999999999997,92.66720000000038
249.0,10.0,5.999999999999997,92.63360000000038
250.0,10.0,5.999999999999997,92.60000000000039
251.0,10.0,5.999999999999997,92.5664000000004
252.0,10.0,5.999999999999997,92.5328000000004
253.0,10.0,5.999999999999997,92.49920000000041
254.0,10.0,5.999999999999997,92.46560000000042
255.0,10.0,5.999999999999997,92.43200000000043
256.0,10.0,5.999999999999997,92.39840000000044
257.0,10.0,5.999999999999997,92.36480000000044
258.0,10.0,5.999999999999997,92.33120000000045
259.0,10.0,5.999999999999997,92.29760000000046
260.0,10.0,5.999999999999997,92.26400000000046
261.0,10.0,5.999999999999997,92.23040000000047
262.0,10.0,5.999999999999997,92.19680000000048
263.0,10.0,5.999999999999997,92.16320000000049
264.0,10.0,5.999999999999997,92.1296000000005
265.0,10.0,5.999999999999997,92.0960000000005
266.0,10.0,5.999999999999997,92.06240000000051
267.0,10.0,5.999999999999997,92.02880000000052
268.0,10.0,5.999999999999997,91.99520000000052
269.0,10.0,5.999999999999997,91.96160000000053
270.0,10.0,5.999999999999997,91.92800000000054
271.0,10.0,5.999999999999997,91.89440000000054
272.0,10.0,5.999999999999997,91.86080000000055
273.0,10.0,5.999999999999997,91.82720000000056
274.0,10.0,5.999999999999997,91.79360000000057
275.0,10.0,5.999999999999997,91.76000000000057
276.0,10.0,5.999999999999997,91.72640000000058
277.0,10.0,5.999999999999997,91.69280000000059
278.0,10.0,5.999999999999997,91.6592000000006
279.0,10.0,5.999999999999997,91.6256000000006
280.0,10.0,5.999999999999997,91.59200000000061
281.0,10.0,5.999999999999997,91.55840000000062
282.0,10.0,5.999999999999997,91.52480000000062
283.0,10.0,5.999999999999997,91.49120000000063
284.0,10.0,5.999999999999997,91.45760000000064
285.0,10.0,5.999999999999997,91.42400000000065
286.0,10.0,5.999999999999997,91.39040000000065
287.0,10.0,5.999999999999997,91.35680000000066
288.0,10.0,5.999999999999997,91.32320000000067
289.0,10.0,5.999999999999997,91.28960000000068
290.0,10.0,5.999999999999997,91.25600000000068
291.0,10.0,5.999999999999997,91.22240000000069
292.0,10.0,5.999999999999997,91.1888000000007
293.0,10.0,5.999999999999997,91.1552000000007
294.0,10.0,5.999999999999997,91.12160000000071
295.0,10.0,5.999999999999997,91.08800000000072
296.0,10.0,5.999999999999997,91.05440000000073
297.0,10.0,5.999999999999997,91.02080000000073
298.0,10.0,5.999999999999997,90.98720000000074
299.0,10.0,5.999999999999997,90.95360000000075
300.0,10.0,5.999999999999997,90.92000000000075
301.0,10.0,5.999999999999997,90.88640000000076
302.0,10.0,5.999999999999997,90.85280000000077
303.0,10.0,5.999999999999997,90.81920000000078
304.0,10.0,5.999999999999997,90.78560000000078
305.0,10.0,5.999999999999997,90.75200000000079
306.0,10.0,5.999999999999997,90.7184000000008
307.0,10.0,5.999999999999997,90.6848000000008
308.0,10.0,5.999999999999997,90.65120000000081
309.0,10.0,5.999999999999997,90.61760000000082
310.0,10.0,5.999999999999997,90.58400000000083
311.0,10.0,5.999999999999997,90.55040000000083
312.0,10.0,5.999999999999997,90.51680000000084
313.0,10.0,5.999999999999997,90.48320000000085
314.0,10.0,5.999999999999997,90.44960000000086
315.0,10.0,5.999999999999997,90.41600000000086
316.0,10.0,5.999999999999997,90.38240000000087
317.0,10.0,5.999999999999997,90.34880000000088
318.0,10.0,5.999999999999997,90.31520000000089
319.0,10.0,5.999999999999997,90.28160000000089
320.0,10.0,5.999999999999997,90.2480000000009
321.0,10.0,5.999999999999997,90.21440000000091
322.0,10.0,5.999999999999997,90.18080000000091
323.0,10.0,5.999999999999997,90.14720000000092
324.0,10.0,5.999999999999997,90.11360000000093
325.0,10.0,5.999999999999997,90.08000000000094
326.0,10.0,5.999999999999997,90.04640000000094
327.0,10.0,5.999999999999997,90.01280000000095
328.0,10.0,5.999999999999997,89.97920000000096
329.0,10.0,5.999999999999997,89.94560000000097
330.0,10.0,5.999999999999997,89.91200000000097
331.0,10.0,5.999999999999997,89.87840000000098
332.0,10.0,5.999999999999997,89.84480000000099
333.0,10.0,5.999999999999997,89.811200000001
334.0,10.0,5.999999999999997,89.777600000001
335.0,10.0,5.999999999999997,89.74400000000101
336.0,10.0,5.999999999999997,89.71040000000102
337.0,10.0,5.999999999999997,89.67680000000102
338.0,10.0,5.999999999999997,89.64320000000103
339.0,10.0,5.999999999999997,89.60960000000104
340.0,10.0,5.999999999999997,89.57600000000105
341.0,10.0,5.999999999999997,89.54240000000105
342.0,10.0,5.999999999999997,89.50880000000106
343.0,10.0,5.999999999999997,89.47520000000107
344.0,10.0,5.999999999999997,89.44160000000107
345.0,10.0,5.999999999999997,89.40800000000108
346.0,10.0,5.999999999999997,89.37440000000109
347.0,10.0,5.999999999999997,89.3408000000011
