source,target,distance_m,weight
592,784,422994.2500104692,422.99425001046916
594,631,499965.70618921367,499.9657061892137
595,623,397448.90726038447,397.4489072603845
595,626,494306.59042338736,494.3065904233874
596,841,196776.63126148365,196.77663126148366
597,670,292209.97126570577,292.20997126570575
603,634,494685.66374461044,494.68566374461045
604,644,254671.23935665973,254.67123935665973
604,809,256764.88243908342,256.7648824390834
607,734,326555.18096479046,326.55518096479045
608,692,178183.22458028584,178.18322458028584
610,701,448214.577271828,448.21457727182803
625,660,499495.90046822984,499.4959004682298
626,788,165847.82057021288,165.8478205702129
626,829,385590.3945337821,385.5903945337821
627,653,240410.7736354918,240.41077363549178
629,666,255342.5177493375,255.3425177493375
632,848,362287.4299071386,362.2874299071386
635,861,252128.76111873664,252.12876111873663
641,643,397201.2425432841,397.2012425432841
644,809,420117.64352283336,420.11764352283336
658,779,275004.67875056714,275.00467875056717
659,838,446455.5092055789,446.4555092055789
661,810,269253.9822176765,269.2539822176765
665,698,488310.182779138,488.31018277913796
667,729,149990.90777052517,149.99090777052518
667,760,466750.3752337381,466.7503752337381
677,823,478866.5910543279,478.8665910543279
679,758,451662.88753361517,451.66288753361516
681,782,361514.8874001792,361.51488740017925
682,730,424843.32615770673,424.8433261577067
689,842,334342.4564556441,334.3424564556441
690,761,403768.50695613975,403.76850695613973
693,776,367683.11086346046,367.68311086346046
693,782,347832.0960928947,347.8320960928947
710,763,365522.18087751453,365.52218087751453
713,864,422886.04483185895,422.88604483185895
717,843,344139.7750315523,344.1397750315523
721,784,180397.11792424438,180.39711792424438
740,861,375529.57099765603,375.52957099765604
751,799,181464.6435851115,181.4646435851115
756,849,445446.01443566126,445.44601443566125
767,814,459658.9094388312,459.6589094388312
768,783,228446.9363609605,228.4469363609605
769,774,473466.56763825443,473.46656763825445
772,832,464345.1851737817,464.3451851737817
788,829,369997.5765455055,369.99757654550547
797,802,340786.27531013265,340.7862753101327
804,863,493311.85491102503,493.311854911025
806,807,286534.03010027483,286.53403010027483
808,863,325221.9294463531,325.2219294463531
813,825,35339.80294135427,35.33980294135427
817,823,434886.4554022551,434.88645540225514
817,864,328931.9776502364,328.9319776502364
823,864,147105.7002202676,147.1057002202676
851,860,475459.344290596,475.45934429059605
